t_center,scheme,c2,gamma,nu
1.74,ctr50,3.6826010017331976,-0.053032404686301896,0.011853787856498751
1.76,exact,3.8109598167725927,-0.15086925662501594,0.1331871970707731
1.76,fwd20,4.004660511945378,0.7138563769564601,0.2603397085418372
1.76,ctr20,3.7743759118254117,-0.14993721357397055,0.13486352912001603
1.76,ctr50,3.619111419405998,-0.02623692422909099,0.09543514840106068
1.78,exact,3.715059781834943,-0.035501780671218716,0.07552231197351462
1.78,fwd20,3.9915327826902596,0.7074146892245524,0.25715846336952747
1.78,ctr20,3.7056901130455646,-0.043554221231511786,0.04187320860023195
1.78,ctr50,3.598347081192136,-0.086210710017586,0.057790529166232854
1.8,exact,3.6392739908540808,0.16901726326013344,-0.004751376650837857
1.8,fwd20,4.005819970158525,0.6893302569515231,0.24770491457704685
1.8,ctr20,3.6193370485180343,0.1686751716454597,0.002167909695807352
1.8,ctr50,3.467966443446469,0.11245531336392897,0.04410367916433963
1.82,exact,3.726148317231659,-0.15415297685763668,0.0034557631269583333
1.82,fwd20,4.033850660968694,0.6682914882813198,0.238891545156295
1.82,ctr20,3.6474224233976873,-0.13235899213026975,0.001124272040559926
1.82,ctr50,3.6667481293540556,0.16481700863576104,-0.046012338470645425
1.84,exact,3.9369182814149704,0.17302150939586067,-0.08260033340891304
1.84,fwd20,4.013692864219205,0.6885483649006215,0.23182637251719024
1.84,ctr20,3.8792791877477777,0.16162259130886752,-0.0742474843448496
1.84,ctr50,3.5908570545462632,0.25105100213357695,-0.026780692078583246
1.86,exact,3.826648885884587,0.28820385869273923,-0.09382440058471815
1.86,fwd20,4.0155970817728805,0.7215216416730854,0.22657469826839588
1.86,ctr20,3.825154376876311,0.29805391861521596,-0.09243554765768598
1.86,ctr50,3.597476822502905,0.29397358416483343,-0.08659220740322199
1.8800000000000001,exact,4.004937515769058,0.26775054361773104,-0.104737313200454
1.8800000000000001,fwd20,3.9885925570283014,0.7498353173382247,0.22246929491134837
1.8800000000000001,ctr20,3.9733995665232937,0.2557714490585895,-0.10220450158065317
1.8800000000000001,ctr50,3.702549628318451,0.19815539458156822,-0.0961698379088598
1.9000000000000001,exact,3.922041245909247,0.12518052480518646,-0.04439060071523232
1.9000000000000001,fwd20,3.9972604199325223,0.7679799713351878,0.22028932733978285
1.9000000000000001,ctr20,3.860356430384064,0.14454021020318508,-0.05516689869474367
1.9000000000000001,ctr50,3.698206524805869,0.18180582932896766,-0.09795786969260702
1.92,exact,3.8711654666297504,0.14133072202608085,-0.10762361975908906
1.92,fwd20,4.029504338754775,0.7733782792259782,0.22547142001112544
1.92,ctr20,3.83391667075172,0.13499436486027033,-0.09128575484270371
1.92,ctr50,3.6112706784583852,0.11076834637471851,-0.07314087196830328
1.94,exact,4.03954167028388,0.26714580361609547,-0.1630531601637555
1.94,fwd20,4.014371034685293,0.767768527353284,0.21170420113390004
1.94,ctr20,3.982603471951603,0.2563504408733476,-0.15359595376389773
1.94,ctr50,3.6452862074645727,0.21387717050721733,-0.09945343291018992
1.96,exact,3.8789753739400803,0.09716315702450812,-0.04736457650205858
1.96,fwd20,3.997702169900713,0.7546637588906084,0.21769688583010438
1.96,ctr20,3.8335543816504662,0.0936945031876748,-0.04079631298872238
1.96,ctr50,3.5981408920475353,0.07607633274575927,0.0027667729556365706
1.98,exact,3.9331236834659284,0.19220663257022025,0.01367134425090094
1.98,fwd20,3.9846195938419777,0.7635370688619512,0.23415174775207198
1.98,ctr20,3.8979347827780275,0.19320650830175543,0.01831146871663797
1.98,ctr50,3.490001150536022,0.17440961307325079,0.029973347325228217
2.0,exact,3.9782546071657814,0.18013627689639505,0.01984996234269365
2.0,fwd20,3.997802347548654,0.7731173947797845,0.2392220943839284
2.0,ctr20,3.8707334512879568,0.17756024032292694,0.023204205634691
2.0,ctr50,3.42615213852654,0.15907190264536583,0.04477230702453269
2.02,exact,3.892837222395684,0.3377237976720357,0.27090773230503795
2.02,fwd20,3.9973470776690814,0.7804633434662183,0.22893817748401482
2.02,ctr20,3.830527125986169,0.29853616619987633,0.27404090476252996
2.02,ctr50,3.491957834723628,0.1766404382356984,0.198426370032842
2.04,exact,3.936809572433333,0.28917513850342924,0.15003833618606485
2.04,fwd20,3.968918008163155,0.7862539241772595,0.22011190898683566
2.04,ctr20,3.891733585407952,0.25888833965277946,0.16127398629423376
2.04,ctr50,3.7560149953375452,0.17292811004519673,0.14839916480316284
2.06,exact,3.8983179747119685,0.15352362749117363,0.12000846200693774
2.06,fwd20,3.9829534780405567,0.7867611608445334,0.23979851588922635
2.06,ctr20,3.834939479953097,0.15601041484114328,0.10950158908778768
2.06,ctr50,3.7153173312471317,0.1366572466895063,0.06991993702200408
2.08,exact,3.829174150765884,0.06281901618131483,-0.015329243281265337
2.08,fwd20,3.99374292390472,0.7814564968113997,0.24939706125386038
2.08,ctr20,3.808447815421762,0.07158598584842497,-0.005781477277908689
2.08,ctr50,3.688571994646821,0.05809785345505955,0.06691790986535985
2.1,exact,3.6316289498245142,0.09926636401904892,0.07181631465471436
2.1,fwd20,3.99490455898069,0.7888490998967279,0.2523842790168134
2.1,ctr20,3.6173242517693067,0.07186878090100864,0.07738936694480383
2.1,ctr50,3.5857756157982594,-0.12578345108812894,0.033755871431074114
2.12,exact,3.794533158639626,-0.12710437598598906,-0.0681098830110789
2.12,fwd20,3.9886366996823113,0.803831654641032,0.2628065140651536
2.12,ctr20,3.7341726974832024,-0.10493093160431378,-0.06364971120792805
2.12,ctr50,3.4478091792139174,-0.016781393997046333,-0.01694542449812944
2.14,exact,3.9035159204378482,-0.24890090314612934,-0.03971076387524064
2.14,fwd20,3.9798211530079612,0.7957713857660662,0.2843372440592828
2.14,ctr20,3.8085195449258924,-0.21242927435340775,-0.05233950638682322
2.14,ctr50,3.434186589856864,0.03620049402832317,-0.13114705704208174
2.16,exact,3.7983058979152053,0.01382891407079917,-0.038924146669843396
2.16,fwd20,3.974523865185329,0.7895514646294293,0.2915306284884525
2.16,ctr20,3.768980081252253,0.04220755800068752,-0.043296684800799956
2.16,ctr50,3.550163590955359,0.02580783305445808,-0.0466429327570657
2.18,exact,3.276462102144623,0.014748846254378875,0.06424343603879994
2.18,fwd20,3.976198729806515,0.7812965699005727,0.3102995521610806
2.18,ctr20,3.703786632362919,0.18226377115500725,-0.023557083943509624
2.18,ctr50,3.4780084514698237,0.16162347486016396,-0.018863384860339862
2.2,exact,3.9074522398164335,0.15797621334902137,0.03863546014689598
2.2,fwd20,3.9821531144600124,0.7810515619809004,0.31924149611334124
2.2,ctr20,3.869422137476881,0.17213614933604449,0.04455878856512735
2.2,ctr50,3.5853272815111925,0.19032418222030095,0.09259663357317241
